Running simulation with random replacement algorithm...


####### MMU #######

Initialized page table
Page 0 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 1 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 2 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 3 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 4 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 5 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 6 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 7 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 8 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 9 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 10 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 11 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 12 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 13 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 14 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 15 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 16 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 17 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 18 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 19 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 20 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 21 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 22 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 23 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 24 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 25 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 26 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 27 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 28 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 29 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 30 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 31 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 32 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 33 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 34 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 35 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 36 ---> valid:0, frame=-1, dirty=0, referenced=0
Page 37 ---> valid:0, frame=-1, dirty=0, referenced=0
